park_states,park_parkCode,park_designation,park_fullName,park_url,park_name,id,name
"IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV",lecl,National Historic Trail,Lewis & Clark National Historic Trail,https://www.nps.gov/lecl/index.htm,Lewis & Clark,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"OR,WA",lewi,National Historical Park,Lewis and Clark National Historical Park,https://www.nps.gov/lewi/index.htm,Lewis and Clark,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MT,libi,National Monument,Little Bighorn Battlefield National Monument,https://www.nps.gov/libi/index.htm,Little Bighorn Battlefield,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
IN,libo,National Memorial,Lincoln Boyhood National Memorial,https://www.nps.gov/libo/index.htm,Lincoln Boyhood,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
IL,liho,National Historic Site,Lincoln Home National Historic Site,https://www.nps.gov/liho/index.htm,Lincoln Home,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
DC,linc,,Lincoln Memorial,https://www.nps.gov/linc/index.htm,Lincoln Memorial,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
NY,loea,National Historic Site,Lower East Side Tenement Museum National Historic Site,https://www.nps.gov/loea/index.htm,Lower East Side Tenement Museum,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MA,long,National Historic Site,Longfellow House Washington's Headquarters National Historic Site,https://www.nps.gov/long/index.htm,Longfellow House Washington's Headquarters,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MA,lowe,National Historical Park,Lowell National Historical Park,https://www.nps.gov/lowe/index.htm,Lowell,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
TX,lyjo,National Historical Park,Lyndon B Johnson National Historical Park,https://www.nps.gov/lyjo/index.htm,Lyndon B Johnson,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
VT,mabi,National Historical Park,Marsh - Billings - Rockefeller National Historical Park,https://www.nps.gov/mabi/index.htm,Marsh - Billings - Rockefeller,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
KY,maca,National Park,Mammoth Cave National Park,https://www.nps.gov/maca/index.htm,Mammoth Cave,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
DC,mall,,**********National Mall**********,https://www.nps.gov/mall/index.htm,**********National Mall**********,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
GA,malu,National Historical Park,"Martin Luther King, Jr. National Historical Park",https://www.nps.gov/malu/index.htm,"Martin Luther King, Jr.",B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
DC,mamc,"National Historic Site
",Mary McLeod Bethune Council House National Historic Site,https://www.nps.gov/mamc/index.htm,Mary McLeod Bethune Council House,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
VA,mana,National Battlefield Park,Manassas National Battlefield Park,https://www.nps.gov/mana/index.htm,Manassas,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
CA,manz,National Historic Site,Manzanar National Historic Site,https://www.nps.gov/manz/index.htm,Manzanar,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"NM,WA,TN",mapr,National Historical Park,Manhattan Project National Historical Park,https://www.nps.gov/mapr/index.htm,Manhattan Project,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
NY,mava,National Historic Site,Martin Van Buren National Historic Site,https://www.nps.gov/mava/index.htm,Martin Van Buren,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
VA,mawa,National Historic Site,Maggie L Walker National Historic Site,https://www.nps.gov/mawa/index.htm,Maggie L Walker,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
CO,meve,National Park,Mesa Verde National Park,https://www.nps.gov/meve/index.htm,Mesa Verde,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"ID,WA",miin,National Historic Site,Minidoka National Historic Site,https://www.nps.gov/miin/index.htm,Minidoka,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MA,mima,National Historical Park,Minute Man National Historical Park,https://www.nps.gov/mima/index.htm,Minute Man,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
SD,mimi,National Historic Site,Minuteman Missile National Historic Site,https://www.nps.gov/mimi/index.htm,Minuteman Missile,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
KY,misp,National Monument,Mill Springs Battlefield National Monument,https://www.nps.gov/misp/index.htm,Mill Springs Battlefield,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
DC,mlkm,,"Martin Luther King, Jr. Memorial",https://www.nps.gov/mlkm/index.htm,"Martin Luther King, Jr. Memorial",B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"SD,NE",mnrr,National Recreational River,Missouri National Recreational River,https://www.nps.gov/mnrr/index.htm,Missouri,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
AZ,moca,National Monument,Montezuma Castle National Monument,https://www.nps.gov/moca/index.htm,Montezuma Castle,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
NC,mocr,National Battlefield,Moores Creek National Battlefield,https://www.nps.gov/mocr/index.htm,Moores Creek,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MD,mono,National Battlefield,Monocacy National Battlefield,https://www.nps.gov/mono/index.htm,Monocacy,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"IL,IA,NE,UT,WY",mopi,National Historic Trail,Mormon Pioneer National Historic Trail,https://www.nps.gov/mopi/index.htm,Mormon Pioneer,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
WA,mora,National Park,Mount Rainier National Park,https://www.nps.gov/mora/index.htm,Mount Rainier,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
NJ,morr,National Historical Park,Morristown National Historical Park,https://www.nps.gov/morr/index.htm,Morristown,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
SD,moru,National Memorial,Mount Rushmore National Memorial,https://www.nps.gov/moru/index.htm,Mount Rushmore,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
CA,muwo,National Monument,Muir Woods National Monument,https://www.nps.gov/muwo/index.htm,Muir Woods,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
DC,nama,,National Mall and Memorial Parks,https://www.nps.gov/nama/index.htm,National Mall and Memorial Parks,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MS,natc,National Historical Park,Natchez National Historical Park,https://www.nps.gov/natc/index.htm,Natchez,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"AL,MS,TN",natr,Parkway,Natchez Trace Parkway,https://www.nps.gov/natr/index.htm,Natchez Trace,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
AZ,nava,National Monument,Navajo National Monument,https://www.nps.gov/nava/index.htm,Navajo,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"ID,MT,OR,WA",nepe,National Historical Park,Nez Perce National Historical Park,https://www.nps.gov/nepe/index.htm,Nez Perce,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
IL,neph,National Historic Site,New Philadelphia National Historic Site,https://www.nps.gov/neph/index.htm,New Philadelphia,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
WV,neri,National Park & Preserve,New River Gorge National Park & Preserve,https://www.nps.gov/neri/index.htm,New River Gorge,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
KS,nico,National Historic Site,Nicodemus National Historic Site,https://www.nps.gov/nico/index.htm,Nicodemus,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
NE,niob,National Scenic River,Niobrara National Scenic River,https://www.nps.gov/niob/index.htm,Niobrara,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
SC,nisi,National Historic Site,Ninety Six National Historic Site,https://www.nps.gov/nisi/index.htm,Ninety Six,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
WA,noca,National Park,North Cascades National Park,https://www.nps.gov/noca/index.htm,North Cascades,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"MI,MN,ND,NY,OH,PA,VT,WI",noco,National Scenic Trail,North Country National Scenic Trail,https://www.nps.gov/noco/index.htm,North Country,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
NY,npnh,,National Parks of New York Harbor,https://www.nps.gov/npnh/index.htm,National Parks of New York Harbor,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
GA,ocmu,National Historical Park,Ocmulgee Mounds National Historical Park,https://www.nps.gov/ocmu/index.htm,Ocmulgee Mounds,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
OK,okci,National Memorial,Oklahoma City National Memorial,https://www.nps.gov/okci/index.htm,Oklahoma City,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
WA,olym,National Park,Olympic National Park,https://www.nps.gov/olym/index.htm,Olympic,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
